,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
83,"All Girls Are The Same","Juice WRLD",864663,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
84,"Taking A Walk","Trippie Redd",864464,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
85,"borderline (feat. Missy Elliott)","Ariana Grande",858595,https://open.spotify.com/track/4b7mLZQWsy0rLnrMtPA9fQ
86,"No Me Acuerdo",Thalía,853105,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd
87,"Thunderclouds with Sia, Diplo & Labrinth",Sia,833781,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
88,"New Rules","Dua Lipa",833125,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
89,Thunder,"Imagine Dragons",831508,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
90,"Lean Wit Me","Juice WRLD",828814,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
91,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",822896,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
92,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,821971,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
93,Perfect,"Ed Sheeran",818498,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
94,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",816564,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
95,Unica,Ozuna,802159,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
96,"Por Perro","Sebastian Yatra",799833,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
97,"Everybody Dies In Their Nightmares",XXXTENTACION,796759,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
98,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,795762,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
99,"Mala Mía",Maluma,781115,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
100,"Estamos Bien","Bad Bunny",771450,https://open.spotify.com/track/7glCSQqV5o6NU88Cn4zPZn
101,YOSEMITE,"Travis Scott",770975,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
102,Flames,"David Guetta",768473,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
103,"Look At Me!",XXXTENTACION,764853,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
104,"I Fall Apart","Post Malone",764666,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
105,"Dura - Remix","Daddy Yankee",761359,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
106,"Mi Cama - Remix","Karol G",758086,https://open.spotify.com/track/38QmUDpkoYlNbMKvpvAsrE
107,"Love Lies (with Normani)",Khalid,744486,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
108,"XO TOUR Llif3","Lil Uzi Vert",739495,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
109,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",726021,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
110,"Madura (feat. Bad Bunny)",Cosculluela,723193,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
111,"BUTTERFLY EFFECT","Travis Scott",717710,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
112,Calypso,"Luis Fonsi",712355,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
113,Mine,Bazzi,711825,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
114,"Bed (feat. Ariana Grande)","Nicki Minaj",705659,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
115,"I'm Upset",Drake,693239,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
116,"High On Life (feat. Bonn)","Martin Garrix",690337,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
117,"La Cintura","Alvaro Soler",689260,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
118,OTW,Khalid,688533,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
119,"Barbie Dreams","Nicki Minaj",673028,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B
120,"Side Effects","The Chainsmokers",672156,https://open.spotify.com/track/5yNEdBlZMxpcVtGKz5NFk5
121,Happier,"Ed Sheeran",670422,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
122,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,670223,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
123,"In My Blood","Shawn Mendes",667535,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
124,"I Like Me Better",Lauv,664569,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
125,Medicina,Anitta,662818,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
126,"WAKE UP","Travis Scott",662531,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
